file,duckdbauto_success,duckdbauto_header_precision,duckdbauto_header_recall,duckdbauto_header_f1,duckdbauto_record_precision,duckdbauto_record_recall,duckdbauto_record_f1,duckdbauto_cell_precision,duckdbauto_cell_recall,duckdbauto_cell_f1,duckdbparse_success,duckdbparse_header_precision,duckdbparse_header_recall,duckdbparse_header_f1,duckdbparse_record_precision,duckdbparse_record_recall,duckdbparse_record_f1,duckdbparse_cell_precision,duckdbparse_cell_recall,duckdbparse_cell_f1,pandas_success,pandas_header_precision,pandas_header_recall,pandas_header_f1,pandas_record_precision,pandas_record_recall,pandas_record_f1,pandas_cell_precision,pandas_cell_recall,pandas_cell_f1,pycsv_success,pycsv_header_precision,pycsv_header_recall,pycsv_header_f1,pycsv_record_precision,pycsv_record_recall,pycsv_record_f1,pycsv_cell_precision,pycsv_cell_recall,pycsv_cell_f1
unicode_bom_utf8.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.992063492063492,0.992063492063492,0.992063492063492,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf8_doubled.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.992063492063492,0.992063492063492,0.992063492063492,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf16le_in_utf8.csv,1,0.0,0.0,0.0,0.927710843373494,0.927710843373494,0.927710843373494,0.98015873015873,0.98015873015873,0.98015873015873,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf16be_in_utf8.csv,1,0.0,0.0,0.0,0.927710843373494,0.927710843373494,0.927710843373494,0.98015873015873,0.98015873015873,0.98015873015873,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf32be.csv,1,0.0,0.0,0.0,0.927710843373494,0.927710843373494,0.927710843373494,0.98015873015873,0.98015873015873,0.98015873015873,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf32le.csv,1,0.0,0.0,0.0,0.927710843373494,0.927710843373494,0.927710843373494,0.98015873015873,0.98015873015873,0.98015873015873,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_midfile.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.9907407407407408,0.9907407407407408,0.9907407407407408,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9986772486772488,0.9986772486772488,0.9986772486772488,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_record_delim_nel.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7711640211640212,0.4331352154531946,0.554709800190295,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0119047619047619,1.0,0.0235294117647058,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_record_delim_ls.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7711640211640212,0.4331352154531946,0.554709800190295,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0119047619047619,1.0,0.0235294117647058,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_record_delim_ps.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7711640211640212,0.4331352154531946,0.554709800190295,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0119047619047619,1.0,0.0235294117647058,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
