DATE,TIME,Qty,PRODUCTID,Price,ProductType
28/01/2018,00:00,2,MG-8769,$74.69,Men's Waterproof Hiking Boots
29/01/2018,00:15,0,RI-3895,$29.81,Light-Up Running Jacket
30/01/2018,00:30,1,RI-8070,$80.08,Men's Ventilated Trail Shoes
31/01/2018,00:45,1,RI-9546,$25.55,Switch Fly Rods
13/02/2018,01:00,9,CC-9259,$48.00,"Throw Pillow, Wooden Paddles"
14/02/2018,01:15,1,CC-1697,$34.22,Men's Heavy-Duty Suspenders
15/02/2018,01:30,2,RI-6052,$89.34,Organic Textured Cotton Towel
16/02/2018,01:45,2,YY-3522,$19.34,"Cycling Jersey, Short-Sleeve"
17/02/2018,02:00,0,YY-5315,$45.39,"Men's Silk Underwear, Crewneck"
18/02/2018,02:15,2,BH-9827,$78.07,"All-Weather Dining Table, Round 48"""
19/02/2018,02:30,1,BH-7885,$52.45,Women's No-Show Socks
20/02/2018,02:45,1,BH-7531,$48.08,Women's  Fly Rod 8 Wt.
21/02/2018,03:00,3,BH-3190,$65.38,Men's Down Vest
22/02/2018,03:15,3,HK-3372,$6.45,Tropic Cap
23/02/2018,03:30,1,HK-5716,$46.01,Women's 3-in-1 Jacket
24/02/2018,03:45,1,AN-5096,$33.83,"Organic Cotton Oxford Shirt, Plaid"
25/02/2018,04:00,3,AN-8641,$65.18,Kids' Good Mocs
26/02/2018,04:15,2,ZN-4777,$34.14,"Kids' Sweater Fleece, Hooded"
27/02/2018,04:30,0,ZN-2049,$83.32,"Women's Hikers, Low Ventilated"
28/02/2018,04:45,3,GN-5043,$69.07,"Women's Comfort Cycling Jersey, Short-Sleeve"
13/03/2018,05:00,0,GN-9860,$24.86,"Men's Boxer, 5"" Inseam"
14/03/2018,05:15,1,YY-2600,$90.99,"Kids' Mountain Bike, 24"""
15/03/2018,05:30,1,YY-4017,$69.52,Leather Sofa
16/03/2018,05:45,1,RI-9156,$53.62,Girls' Waterproof 3-in-1 Jacket
17/03/2018,06:00,1,RI-9121,$9.81,Women's No-Show Socks
18/03/2018,06:15,1,RI-7338,$43.53,Kids' Hat
19/03/2018,06:30,0,ZN-6172,$30.79,Men's Snowshoes Set
20/03/2018,06:45,0,YY-2057,$43.4,"Tippet Material, Pro Freshwater"
21/03/2018,07:00,1,BH-5486,$0.91,Women's Wet Suit
22/03/2018,07:15,3,BH-1732,$65.46,"Waterproof Boots, Tall"
24/03/2018,07:45,0,BH-4480,$51.42,Heated Insoles
25/03/2018,08:00,0,BH-1061,$62.55,"Base Layer, Pants"
26/03/2018,08:15,2,ON-7017,$0.9,"Quarter-Zip Hoodie, Camo"
27/03/2018,08:30,3,ON-1026,$20.65,"Tee, Traditional Fit, Short-Sleeve"
28/03/2018,08:45,4,AN-6109,$18.58,Kids' Pullover
29/03/2018,09:00,3,AN-9272,$57.75,Women's Essential Running Vest
30/03/2018,09:15,0,AN-1646,$78.74,"Rolling Duffle, Extra-Large"
31/03/2018,09:30,0,AN-9388,$64.02,"Linen Shirt, Slightly Fitted Short-Sleeve Stripe"
13/04/2018,11:00,4,YY-9611,$3.79,"Women's Hunting Shoes, 10"""
14/04/2018,11:15,12,RI-1639,$25.14,"Men's Loafers, Leather/Nubuck"
16/04/2018,11:45,15,RI-3655,$45.12,Kids' Sneaker
17/04/2018,12:00,16,CC-5271,$38.81,"Kids' Shirt, Short Sleeve, Graphic"
18/04/2018,12:15,9,CC-9916,$75.06,Men's Biking Shorts
19/04/2018,12:30,9,YY-7121,$67.64,Backpacking Stove Kit
20/04/2018,12:45,15,YY-8954,$64.19,"Travel Lock, Combination Cable"
21/04/2018,13:00,8,YY-8239,$72,Men's Boots
23/04/2018,13:30,26,BH-2268,$43.61,Men's Shorts
25/04/2018,14:00,16,BH-4482,$53.95,Portable Game Center
26/04/2018,14:15,22,HK-4191,$3.35,"Women's Waterproof Hiking Boots, Leather Mesh"
29/04/2018,15:00,30,AN-5829,$2.86,Women's Booties
13/05/2018,18:45,24,BH-7941,$64.17,Cotton/Linen Ragg Sweater
15/05/2018,19:15,18,HK-8027,$26.62,Camp Stove Bundle with Coffee Press
18/05/2018,20:00,30,AN-2099,$64.14,Sandals
19/05/2018,20:15,33,AN-5746,$83.75,"Flannel Tunic, Plaid"
20/05/2018,20:30,16,AN-5136,$39.41,Ragg Wool Hat
21/05/2018,20:45,21,ZN-5503,$88.45,Coffee Table
22/05/2018,21:00,19,ZN-4103,$68.74,Baseball Hat
23/05/2018,21:15,2,GN-1741,$48.05,"Beach Chair, Print"
24/05/2018,21:30,1,GN-5567,$26.87,Men's Reversible Jacket
25/05/2018,21:45,0,GN-3028,$12.98,"Swimwear, Print"
26/05/2018,22:00,2,YY-4147,$11.06,Women's Sandals
27/05/2018,22:15,0,WH-3118,$31.06,Men's Ear Warmer
28/05/2018,22:30,1,WH-2859,$72.91,"Tee, Traditional Fit, Long-Sleeve"
