file,code_generation_llm_gpt_5_4_mini_metric_ground_truth,code_generation_llm_gpt_5_4_mini_strict_ground_truth,code_generation_llm_gpt_5_4_mini_matched_ground_truth,code_generation_llm_gpt_5_4_mini_correct,code_generation_llm_gpt_5_4_mini_wrong,code_generation_llm_gpt_5_4_mini_evaluation_error,code_generation_llm_gpt_5_4_mini_success,code_generation_llm_gpt_5_4_mini_header_precision,code_generation_llm_gpt_5_4_mini_header_recall,code_generation_llm_gpt_5_4_mini_header_f1,code_generation_llm_gpt_5_4_mini_record_precision,code_generation_llm_gpt_5_4_mini_record_recall,code_generation_llm_gpt_5_4_mini_record_f1,code_generation_llm_gpt_5_4_mini_cell_precision,code_generation_llm_gpt_5_4_mini_cell_recall,code_generation_llm_gpt_5_4_mini_cell_f1
file_excel_formulas.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_extremely_long_field_row_3_col_6_len_10000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x20.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.10978835978835978,0.141156462585034,0.12351190476190477
file_field_delimiter_0x2C_0x20.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x3B.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x9.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_1.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_3.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_3_blank_line.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_header_multirow_2.csv,extra_headers_as_data_rows,origin,origin,1,0,,1,1.0,1.0,1.0,0.9880952380952381,1.0,0.9940119760479043,0.9986789960369881,1.0,0.9993390614672836
file_header_multirow_3.csv,extra_headers_as_data_rows,,,0,1,,1,1.0,1.0,1.0,0.9764705882352941,0.9764705882352941,0.9764705882352941,0.9973614775725593,0.9767441860465116,0.9869451697127936
file_header_only.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_26_col_5.csv,rectangular_missing_value,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_40_col_1.csv,rectangular_missing_value,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_45_col_7.csv,rectangular_missing_value,rectangular_missing_value,rectangular_missing_value,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_57_col_1.csv,rectangular_missing_value,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_70_col_3.csv,rectangular_missing_value,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_delimiters_whole_row_row_13_0x3B.csv,recovered_original_table,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9894179894179894,0.9894179894179894,0.9894179894179894
file_mixed_delimiters_within_row_row_13_range_1_0x3B.csv,recovered_original_table,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9973544973544973,0.9973544973544973,0.9973544973544973
file_mixed_delimiters_within_row_row_13_range_3_0x3B.csv,recovered_original_table,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9947089947089947,0.9947089947089947,0.9947089947089947
file_mixed_time_formats_day_month_year.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_time_formats_iso_8601.csv,temporal_values_as_strings,,,0,1,,1,1.0,1.0,1.0,1.0,0.9880952380952381,0.9940119760479043,1.0,0.9882352941176471,0.9940828402366864
file_mixed_time_formats_long_month_name.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_time_formats_long_month_name_unquoted.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_mixed_time_formats_month_day_year.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_more_columns_row_34_col_1.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9973579920739762,0.9986772486772487,0.9980171844018507
file_more_columns_row_39_col_8.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9973579920739762,0.9986772486772487,0.9980171844018507
file_more_columns_row_72_col_5.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9973579920739762,0.9986772486772487,0.9980171844018507
file_more_columns_row_79_col_7.csv,canonical,,,0,1,,1,1.0,0.9,0.9473684210526316,1.0,1.0,1.0,1.0,0.9011904761904762,0.9480275516593614
file_more_columns_row_9_col_6.csv,canonical,,,0,1,,1,1.0,0.9,0.9473684210526316,1.0,1.0,1.0,1.0,0.9011904761904762,0.9480275516593614
file_move_header_row8.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9036144578313253,1.0,0.9493670886075949,0.9047619047619048,1.0,0.9500000000000001
file_multiline_header_rows_3.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.963855421686747,1.0,0.9815950920245399,0.96,0.9876543209876543,0.973630831643002
file_no_header.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_no_payload.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_no_trailing_newline.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_columns_1000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_columns_pad_randints_1000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_rows_50000_repeat_file.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_one_data_row.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_preamble.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
file_quotation_char_0x27.csv,canonical,,,0,1,,1,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.0,0.0,0.0,0.39814814814814814,0.5647279549718575,0.4670287044220326
file_quotation_char_none.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_record_delimiter_0xA.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_record_delimiter_0xD.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_superheader_sparse_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,without_superheader,,,0,1,,1,0.0,0.0,0.0,1.0,0.9880952380952381,0.9940119760479043,1.0,0.9882352941176471,0.9940828402366864
file_superheader_whitespace_aligned_columns_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.10978835978835978,0.141156462585034,0.12351190476190477
file_unescaped_multiline_string_row_2_col_7.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9867724867724867,0.9867724867724867,0.9867724867724867
file_unquoted_lists_row_9_col_6.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9947089947089947,0.9947089947089947,0.9947089947089947
file_whitespace_delimiter_cells_quoted_empty_last_column_padded.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_whitespace_delimiter_cells_quoted_padded.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.10978835978835978,0.1445993031358885,0.12481203007518797
file_whitespace_delimiter_cells_quoted_unpadded.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.05421686746987952,0.019522776572668113
file_whitespace_delimiter_cells_unquoted_padded.csv,canonical,,,0,1,,1,0.6666666666666666,0.8571428571428571,0.75,0.0,0.0,0.0,0.4748677248677249,0.6105442176870748,0.5342261904761905
row_quotation_mark_12_0x27.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9947089947089947,0.9947089947089947,0.9947089947089947
source.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
