"DATE;TIME;Qty;PRODUCTID;Price;ProductType;""ProductDescription"";""URL"";Comments"
"28/01/2018;00:00;2;MG-8769;$74.69;Men's Waterproof Hiking Boots;""These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down."";""https://www.example.com/product/MG_8769.html"";"
"31/01/2018;00:45;1;RI-9546;$25.55;Switch Fly Rods;""This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast."";""https://www.example.com/product/RI_9546.html"";"
"23/02/2018;03:30;1;HK-5716;$46.01;Women's 3-in-1 Jacket;""Our women's 3-in-1 jacket offers three times the value and versatility for the solution to year-round weather conditions."";""https://www.example.com/product/HK_5716.html"";"
"15/03/2018;05:30;1;YY-4017;$69.52;Leather Sofa;""Our American-made leather sofa exhibits quality craftsmanship in every detail and delivers lasting comfort through and through."";""https://www.example.com/product/YY_4017.html"";"
"17/03/2018;06:00;1;RI-9121;$9.81;Women's No-Show Socks;""These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly."";""https://www.example.com/product/RI_9121.html"";"
"13/05/2018;18:45;24;BH-7941;$64.17;Cotton/Linen Ragg Sweater;""An ultracozy take on the classic ragg sweater. We created this swing sweater from beautifully marled cotton with linen for amazing texture."";""https://www.example.com/product/BH_7941.html"";"
"24/05/2018;21:30;1;GN-5567;$26.87;Men's Reversible Jacket;""Designed to be the ultimate reversible jacket with two great options. We took the cozy comfort of plush fleece and combined it with the ultralight warmth of our insulation."";""https://www.example.com/product/GN_5567.html"";"
"26/06/2018;00:30;0;BH-1861;$82.12;Women's Socks;""These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly."";""https://www.example.com/product/BH_1861.html"";"
"13/07/2018;10:30;1;GN-7767;$25.88;Men's Versatile Tote;""We combined details with your everyday needs to create this: an exceptional quality tote with a laptop compartment and enough room for all your other essentials."";""https://www.example.com/product/GN_7767.html"";"
"17/07/2018;16:30;0;YY-7734;$73.42;Havana Hat;""The perfect complement to any summertime style: this fedora hat offers UPF 50+ protection and won't crunch or bend during your travels."";""https://www.example.com/product/YY_7734.html"";"
