file,full_llm_loader_naive_gpt_5_4_mini_metric_ground_truth,full_llm_loader_naive_gpt_5_4_mini_strict_ground_truth,full_llm_loader_naive_gpt_5_4_mini_matched_ground_truth,full_llm_loader_naive_gpt_5_4_mini_correct,full_llm_loader_naive_gpt_5_4_mini_wrong,full_llm_loader_naive_gpt_5_4_mini_evaluation_error,full_llm_loader_naive_gpt_5_4_mini_success,full_llm_loader_naive_gpt_5_4_mini_header_precision,full_llm_loader_naive_gpt_5_4_mini_header_recall,full_llm_loader_naive_gpt_5_4_mini_header_f1,full_llm_loader_naive_gpt_5_4_mini_record_precision,full_llm_loader_naive_gpt_5_4_mini_record_recall,full_llm_loader_naive_gpt_5_4_mini_record_f1,full_llm_loader_naive_gpt_5_4_mini_cell_precision,full_llm_loader_naive_gpt_5_4_mini_cell_recall,full_llm_loader_naive_gpt_5_4_mini_cell_f1
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combo__move_header_row5__preamble_2_raw_empty_row.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,canonical,canonical,canonical,1,0,,1,0.0,0.0,0.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,1.0,1.0,1.0
combo__multiline_header_rows_3__footnote_2_blank_line.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combo__row_quotation_mark_2_0x27__mixed_delimiters_within_row_row_2_range_3_0x3B.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9986772486772487,0.9986772486772487,0.9986772486772487
file_commented_row_41.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
file_commented_row_49.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
file_commented_row_56.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
file_double_escaping_backslash_row_3_col_7.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_escaping_double_quote_row_2_col_7.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_trailing_newline.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_embedded_json_cell_2_1_len_4.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_escape_char_0x00.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_escape_char_0x5C.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_excel_formulas.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_extremely_long_field_row_3_col_6_len_10000.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9986772486772487,0.9986772486772487,0.9986772486772487
file_field_delimiter_0x20.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x2C_0x20.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_field_delimiter_0x3B.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x9.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_1.csv,,,,0,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_footnote_3.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_3_blank_line.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_header_multirow_2.csv,extra_headers_as_data_rows,,,0,1,,1,1.0,1.0,1.0,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9986789960369881,0.9882352941176471,0.9934296977660972
file_header_multirow_3.csv,extra_headers_as_data_rows,,,0,1,,1,1.0,1.0,1.0,0.9764705882352941,0.9764705882352941,0.9764705882352941,0.9973614775725593,0.9767441860465116,0.9869451697127936
