file,llm_hybrid_parser_qwen3_5_0_8b_duckdb_metric_ground_truth,llm_hybrid_parser_qwen3_5_0_8b_duckdb_strict_ground_truth,llm_hybrid_parser_qwen3_5_0_8b_duckdb_matched_ground_truth,llm_hybrid_parser_qwen3_5_0_8b_duckdb_correct,llm_hybrid_parser_qwen3_5_0_8b_duckdb_wrong,llm_hybrid_parser_qwen3_5_0_8b_duckdb_evaluation_error,llm_hybrid_parser_qwen3_5_0_8b_duckdb_success,llm_hybrid_parser_qwen3_5_0_8b_duckdb_header_precision,llm_hybrid_parser_qwen3_5_0_8b_duckdb_header_recall,llm_hybrid_parser_qwen3_5_0_8b_duckdb_header_f1,llm_hybrid_parser_qwen3_5_0_8b_duckdb_record_precision,llm_hybrid_parser_qwen3_5_0_8b_duckdb_record_recall,llm_hybrid_parser_qwen3_5_0_8b_duckdb_record_f1,llm_hybrid_parser_qwen3_5_0_8b_duckdb_cell_precision,llm_hybrid_parser_qwen3_5_0_8b_duckdb_cell_recall,llm_hybrid_parser_qwen3_5_0_8b_duckdb_cell_f1
file_double_escaping_double_quote_row_2_col_7.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_trailing_newline.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_embedded_json_cell_2_1_len_4.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.963855421686747,1.0,0.9815950920245399,0.9681274900398407,1.0,0.9838056680161944
file_escape_char_0x00.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.927710843373494,1.0,0.9625,0.9285714285714286,1.0,0.962962962962963
file_escape_char_0x5C.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_excel_formulas.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_extremely_long_field_row_3_col_6_len_10000.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.9759036144578314,1.0,0.9878048780487805,0.9761904761904762,1.0,0.9879518072289156
file_field_delimiter_0x20.csv,canonical,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.007936507936507936,1.0,0.015748031496062992
file_field_delimiter_0x2C_0x20.csv,canonical,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.007936507936507936,1.0,0.015748031496062992
file_field_delimiter_0x3B.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x9.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_1.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_3.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.963855421686747,1.0,0.9815950920245399,0.9523809523809523,0.9876543209876543,0.9696969696969696
file_footnote_3_blank_line.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.9879518072289156,1.0,0.993939393939394,0.9761904761904762,0.9879518072289156,0.9820359281437125
file_header_multirow_2.csv,extra_headers_as_data_rows,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.007926023778071334,1.0,0.015727391874180863
file_header_multirow_3.csv,extra_headers_as_data_rows,,,0,1,,1,1.0,1.0,1.0,0.9764705882352941,0.9764705882352941,0.9764705882352941,0.9973614775725593,0.9767441860465116,0.9869451697127936
file_header_only.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_26_col_5.csv,jagged_deleted_value,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9894039735099338,1.0,0.9946737683089214
file_less_columns_deleted_value_row_40_col_1.csv,jagged_deleted_value,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9894039735099338,1.0,0.9946737683089214
file_less_columns_deleted_value_row_45_col_7.csv,jagged_deleted_value,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9894039735099338,1.0,0.9946737683089214
file_less_columns_deleted_value_row_57_col_1.csv,jagged_deleted_value,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9894039735099338,1.0,0.9946737683089214
file_less_columns_deleted_value_row_70_col_3.csv,jagged_deleted_value,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9894039735099338,1.0,0.9946737683089214
file_mixed_delimiters_whole_row_row_13_0x3B.csv,recovered_original_table,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
file_mixed_delimiters_within_row_row_13_range_1_0x3B.csv,recovered_original_table,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
file_mixed_delimiters_within_row_row_13_range_3_0x3B.csv,recovered_original_table,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
file_mixed_time_formats_day_month_year.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_time_formats_iso_8601.csv,temporal_values_as_strings,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.007936507936507936,1.0,0.015748031496062992
file_mixed_time_formats_long_month_name.csv,temporal_values_as_strings,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.007936507936507936,1.0,0.015748031496062992
file_mixed_time_formats_long_month_name_unquoted.csv,temporal_values_as_strings,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.007936507936507936,1.0,0.015748031496062992
file_mixed_time_formats_month_day_year.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_more_columns_row_34_col_1.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.8554216867469879,1.0,0.922077922077922,0.8560105680317041,1.0,0.9224199288256227
file_more_columns_row_39_col_8.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9986789960369881,1.0,0.9993390614672836
file_more_columns_row_72_col_5.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9986789960369881,1.0,0.9993390614672836
file_more_columns_row_79_col_7.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9986789960369881,1.0,0.9993390614672836
file_more_columns_row_9_col_6.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9867899603698811,1.0,0.9933510638297872
file_move_header_row8.csv,canonical,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
file_multiline_header_rows_3.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_no_header.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_no_payload.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_no_trailing_newline.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_columns_1000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_columns_pad_randints_1000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_rows_50000_repeat_file.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_one_data_row.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_preamble.csv,canonical,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.007936507936507936,1.0,0.015748031496062992
file_quotation_char_0x27.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.6144578313253012,0.6296296296296297,0.6219512195121951,0.9365079365079365,0.959349593495935,0.9477911646586347
file_quotation_char_none.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.10843373493975904,0.2647058823529412,0.15384615384615383,0.3505291005291005,0.8412698412698413,0.49486461251167124
file_record_delimiter_0xA.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_record_delimiter_0xD.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_superheader_sparse_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,without_superheader,,,0,1,,1,1.0,1.0,1.0,0.9036144578313253,1.0,0.9493670886075949,0.9047619047619048,1.0,0.9500000000000001
file_superheader_whitespace_aligned_columns_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,without_superheader,,,0,1,,1,1.0,1.0,1.0,0.0,0.0,0.0,0.011904761904761904,1.0,0.023529411764705882
file_unescaped_multiline_string_row_2_col_7.csv,canonical,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.6666666666666666,1.0,0.8
file_unquoted_lists_row_9_col_6.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9759036144578314,0.9878048780487805,0.9818181818181818,0.9788359788359788,0.9906291834002677,0.9846972721224218
file_whitespace_delimiter_cells_quoted_empty_last_column_padded.csv,canonical,,,0,1,,1,0.5555555555555556,1.0,0.7142857142857143,0.0,0.0,0.0,0.006613756613756613,0.125,0.012562814070351756
file_whitespace_delimiter_cells_quoted_padded.csv,canonical,,,0,1,,1,0.5555555555555556,1.0,0.7142857142857143,0.0,0.0,0.0,0.006613756613756613,0.125,0.012562814070351756
file_whitespace_delimiter_cells_quoted_unpadded.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_whitespace_delimiter_cells_unquoted_padded.csv,canonical,,,0,1,,1,0.2222222222222222,1.0,0.3636363636363636,0.0,0.0,0.0,0.0026455026455026454,0.038461538461538464,0.00495049504950495
row_quotation_mark_12_0x27.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
source.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
