DATE,TIME,Qty,PRODUCTID,Price,ProductType,ProductDescription,URL,Comments
28/01/2018,00:00,2,,,MG-8769,,,$74.69
29/01/2018,00:15,0,,,RI-3895,,,$29.81
30/01/2018,00:30,1,,,RI-8070,,,$80.08
31/01/2018,00:45,1,,,RI-9546,,,$25.55
13/02/2018,01:00,9,,,CC-9259,,,$48.00
14/02/2018,01:15,1,,,CC-1697,,,$34.22
15/02/2018,01:30,2,,,RI-6052,,,$89.34
16/02/2018,01:45,2,,,YY-3522,,,$19.34
17/02/2018,02:00,0,,,YY-5315,,,$45.39
18/02/2018,02:15,2,,,BH-9827,,,$78.07
19/02/2018,02:30,1,,,BH-7885,,,$52.45
20/02/2018,02:45,1,,,BH-7531,,,$48.08
21/02/2018,03:00,3,,,BH-3190,,,$65.38
22/02/2018,03:15,3,,,HK-3372,,,$6.45
23/02/2018,03:30,1,,,HK-5716,,,$46.01
24/02/2018,03:45,1,,,AN-5096,,,$33.83
25/02/2018,04:00,3,,,AN-8641,,,$65.18
26/02/2018,04:15,2,,,ZN-4777,,,$34.14
27/02/2018,04:30,0,,,ZN-2049,,,$83.32
28/02/2018,04:45,3,,,GN-5043,,,$69.07
13/03/2018,05:00,0,,,GN-9860,,,$24.86
14/03/2018,05:15,1,,,YY-2600,,,$90.99
15/03/2018,05:30,1,,,YY-4017,,,$69.52
16/03/2018,05:45,1,,,RI-9156,,,$53.62
17/03/2018,06:00,1,,,RI-9121,,,$9.81
18/03/2018,06:15,1,,,RI-7338,,,$43.53
19/03/2018,06:30,0,,,ZN-6172,,,$30.79
20/03/2018,06:45,0,,,YY-2057,,,$43.4
21/03/2018,07:00,1,,,BH-5486,,,$0.91
22/03/2018,07:15,3,,,BH-1732,,,$65.46
24/03/2018,07:45,0,,,BH-4480,,,$51.42
25/03/2018,08:00,0,,,BH-1061,,,$62.55
26/03/2018,08:15,2,,,ON-7017,,,$0.9
27/03/2018,08:30,3,,,ON-1026,,,$20.65
28/03/2018,08:45,4,,,AN-6109,,,$18.58
29/03/2018,09:00,3,,,AN-9272,,,$57.75
30/03/2018,09:15,0,,,AN-1646,,,$78.74
31/03/2018,09:30,0,,,AN-9388,,,$64.02
13/04/2018,11:00,4,,,YY-9611,,,$3.79
14/04/2018,11:15,12,,RI-1639,,,$25.14,Men's
16/04/2018,11:45,15,,RI-3655,,,$45.12,Kids'
17/04/2018,12:00,16,,CC-5271,,,$38.81,Kids'
18/04/2018,12:15,9,,,CC-9916,,,$75.06
19/04/2018,12:30,9,,,YY-7121,,,$67.64
20/04/2018,12:45,15,,YY-8954,,,$64.19,Travel
21/04/2018,13:00,8,,,YY-8239,,,$72
23/04/2018,13:30,26,,BH-2268,,,$43.61,Men's
25/04/2018,14:00,16,,BH-4482,,,$53.95,Portable
26/04/2018,14:15,22,,HK-4191,,,$3.35,
29/04/2018,15:00,30,,AN-5829,,,$2.86,
13/05/2018,18:45,24,,BH-7941,,,$64.17,Cotton/Linen
15/05/2018,19:15,18,,HK-8027,,,$26.62,Camp
18/05/2018,20:00,30,,AN-2099,,,$64.14,Sandals
19/05/2018,20:15,33,,AN-5746,,,$83.75,Flannel
20/05/2018,20:30,16,,AN-5136,,,$39.41,Ragg
21/05/2018,20:45,21,,ZN-5503,,,$88.45,Coffee
22/05/2018,21:00,19,,ZN-4103,,,$68.74,Baseball
23/05/2018,21:15,2,,,GN-1741,,,$48.05
24/05/2018,21:30,1,,,GN-5567,,,$26.87
25/05/2018,21:45,0,,,GN-3028,,,$12.98
26/05/2018,22:00,2,,,YY-4147,,,$11.06
27/05/2018,22:15,0,,,WH-3118,,,$31.06
28/05/2018,22:30,1,,,WH-2859,,,$72.91
30/05/2018,23:00,1,,,CC-2828,,,$79.36
31/05/2018,15:30,3,,,HK-9973,,,$39.49
21/06/2018,23:15,1,,,CC-5815,,,$13.57
22/06/2018,23:30,1,,,YY-2632,,,$27.84
23/06/2018,23:45,0,,,YY-1196,,,$90.15
24/06/2018,00:00,0,,,YY-1894,,,$13.52
26/06/2018,00:30,0,,,BH-1861,,,$82.12
27/06/2018,17:15,1,,,RI-7731,,,$65.13
29/06/2018,10:00,1,,,ZN-7072,,,$88.21
30/06/2018,10:15,2,,,GN-1306,,,$78.95
13/07/2018,10:30,1,,,GN-7767,,,$25.88
14/07/2018,10:45,0,,,GN-4624,,,$24.52
15/07/2018,16:45,20,,RI-7676,,,$7.49,
16/07/2018,17:00,3,,,RI-5314,,,$76.26
17/07/2018,16:30,0,,,YY-7734,,,$73.42
18/07/2018,17:30,1,,,BH-7744,,,$56.76
19/07/2018,17:45,1,,,YY-8580,,,$6.31
20/07/2018,18:00,1,,,BH-7918,,,$63.7
22/07/2018,18:30,1,,,BH-1085,,,$85.07
24/07/2018,16:00,6,,,GN-2043,,,$23.25
