DATE,TIME,Qty,PRODUCTID,Price,ProductType,ProductDescription,URL,Comments
28/01/2018,00:00,,2,,,,,MG-8769
29/01/2018,00:15,,0,,,,,RI-3895
30/01/2018,00:30,,1,,,,,RI-8070
31/01/2018,00:45,,1,,,,,RI-9546
13/02/2018,01:00,,9,,,,,CC-9259
14/02/2018,01:15,,1,,,,,CC-1697
15/02/2018,01:30,,2,,,,,RI-6052
16/02/2018,01:45,,2,,,,,YY-3522
17/02/2018,02:00,,0,,,,,YY-5315
18/02/2018,02:15,,2,,,,,BH-9827
19/02/2018,02:30,,1,,,,,BH-7885
20/02/2018,02:45,,1,,,,,BH-7531
21/02/2018,03:00,,3,,,,,BH-3190
22/02/2018,03:15,,3,,,,,HK-3372
23/02/2018,03:30,,1,,,,,HK-5716
24/02/2018,03:45,,1,,,,,AN-5096
25/02/2018,04:00,,3,,,,,AN-8641
26/02/2018,04:15,,2,,,,,ZN-4777
27/02/2018,04:30,,0,,,,,ZN-2049
28/02/2018,04:45,,3,,,,,GN-5043
13/03/2018,05:00,,0,,,,,GN-9860
14/03/2018,05:15,,1,,,,,YY-2600
15/03/2018,05:30,,1,,,,,YY-4017
16/03/2018,05:45,,1,,,,,RI-9156
17/03/2018,06:00,,1,,,,,RI-9121
18/03/2018,06:15,,1,,,,,RI-7338
19/03/2018,06:30,,0,,,,,ZN-6172
20/03/2018,06:45,,0,,,,,YY-2057
21/03/2018,07:00,,1,,,,,BH-5486
22/03/2018,07:15,,3,,,,,BH-1732
24/03/2018,07:45,,0,,,,,BH-4480
25/03/2018,08:00,,0,,,,,BH-1061
26/03/2018,08:15,,2,,,,,ON-7017
27/03/2018,08:30,,3,,,,,ON-1026
28/03/2018,08:45,,4,,,,,AN-6109
29/03/2018,09:00,,3,,,,,AN-9272
30/03/2018,09:15,,0,,,,,AN-1646
31/03/2018,09:30,,0,,,,,AN-9388
13/04/2018,11:00,,4,,,,,YY-9611
14/04/2018,11:15,,12,,,,RI-1639,
16/04/2018,11:45,,15,,,,RI-3655,
17/04/2018,12:00,,16,,,,CC-5271,
18/04/2018,12:15,,9,,,,,CC-9916
19/04/2018,12:30,,9,,,,,YY-7121
20/04/2018,12:45,,15,,,,YY-8954,
21/04/2018,13:00,,8,,,,,YY-8239
23/04/2018,13:30,,26,,,,BH-2268,
25/04/2018,14:00,,16,,,,BH-4482,
26/04/2018,14:15,,22,,,,HK-4191,
29/04/2018,15:00,,30,,,,AN-5829,
13/05/2018,18:45,,24,,,,BH-7941,
15/05/2018,19:15,,18,,,,HK-8027,
18/05/2018,20:00,,30,,,,AN-2099,
19/05/2018,20:15,,33,,,,AN-5746,
20/05/2018,20:30,,16,,,,AN-5136,
21/05/2018,20:45,,21,,,,ZN-5503,
22/05/2018,21:00,,19,,,,ZN-4103,
23/05/2018,21:15,,2,,,,,GN-1741
24/05/2018,21:30,,1,,,,,GN-5567
25/05/2018,21:45,,0,,,,,GN-3028
26/05/2018,22:00,,2,,,,,YY-4147
27/05/2018,22:15,,0,,,,,WH-3118
28/05/2018,22:30,,1,,,,,WH-2859
30/05/2018,23:00,,1,,,,,CC-2828
31/05/2018,15:30,,3,,,,,HK-9973
21/06/2018,23:15,,1,,,,,CC-5815
22/06/2018,23:30,,1,,,,,YY-2632
23/06/2018,23:45,,0,,,,,YY-1196
24/06/2018,00:00,,0,,,,,YY-1894
26/06/2018,00:30,,0,,,,,BH-1861
27/06/2018,17:15,,1,,,,,RI-7731
29/06/2018,10:00,,1,,,,,ZN-7072
30/06/2018,10:15,,2,,,,,GN-1306
13/07/2018,10:30,,1,,,,,GN-7767
14/07/2018,10:45,,0,,,,,GN-4624
15/07/2018,16:45,,20,,,,RI-7676,
16/07/2018,17:00,,3,,,,,RI-5314
17/07/2018,16:30,,0,,,,,YY-7734
18/07/2018,17:30,,1,,,,,BH-7744
19/07/2018,17:45,,1,,,,,YY-8580
20/07/2018,18:00,,1,,,,,BH-7918
22/07/2018,18:30,,1,,,,,BH-1085
24/07/2018,16:00,,6,,,,,GN-2043
