DATE,TIME,Qty,PRODUCTID,Price,ProductType,ProductDescription,URL,Comments
DATE,,,,,,,,
28/01/2018,,,,,,,00:00,2
29/01/2018,,,,,,,00:15,0
30/01/2018,,,,,,,00:30,1
31/01/2018,,,,,,,00:45,1
13/02/2018,,,,,,,01:00,9
14/02/2018,,,,,,,01:15,1
15/02/2018,,,,,,,01:30,2
16/02/2018,,,,,,,01:45,2
17/02/2018,,,,,,,02:00,0
18/02/2018,,,,,,,02:15,2
19/02/2018,,,,,,,02:30,1
20/02/2018,,,,,,,02:45,1
21/02/2018,,,,,,,03:00,3
22/02/2018,,,,,,,03:15,3
23/02/2018,,,,,,,03:30,1
24/02/2018,,,,,,,03:45,1
25/02/2018,,,,,,,04:00,3
26/02/2018,,,,,,,04:15,2
27/02/2018,,,,,,,04:30,0
28/02/2018,,,,,,,04:45,3
13/03/2018,,,,,,,05:00,0
14/03/2018,,,,,,,05:15,1
15/03/2018,,,,,,,05:30,1
16/03/2018,,,,,,,05:45,1
17/03/2018,,,,,,,06:00,1
18/03/2018,,,,,,,06:15,1
19/03/2018,,,,,,,06:30,0
20/03/2018,,,,,,,06:45,0
21/03/2018,,,,,,,07:00,1
22/03/2018,,,,,,,07:15,3
24/03/2018,,,,,,,07:45,0
25/03/2018,,,,,,,08:00,0
26/03/2018,,,,,,,08:15,2
27/03/2018,,,,,,,08:30,3
28/03/2018,,,,,,,08:45,4
29/03/2018,,,,,,,09:00,3
30/03/2018,,,,,,,09:15,0
31/03/2018,,,,,,,09:30,0
13/04/2018,,,,,,,11:00,4
14/04/2018,,,,,,,11:15,12
16/04/2018,,,,,,,11:45,15
17/04/2018,,,,,,,12:00,16
18/04/2018,,,,,,,12:15,9
19/04/2018,,,,,,,12:30,9
20/04/2018,,,,,,,12:45,15
21/04/2018,,,,,,,13:00,8
23/04/2018,,,,,,,13:30,26
25/04/2018,,,,,,,14:00,16
26/04/2018,,,,,,,14:15,22
29/04/2018,,,,,,,15:00,30
13/05/2018,,,,,,,18:45,24
15/05/2018,,,,,,,19:15,18
18/05/2018,,,,,,,20:00,30
19/05/2018,,,,,,,20:15,33
20/05/2018,,,,,,,20:30,16
21/05/2018,,,,,,,20:45,21
22/05/2018,,,,,,,21:00,19
23/05/2018,,,,,,,21:15,2
24/05/2018,,,,,,,21:30,1
25/05/2018,,,,,,,21:45,0
26/05/2018,,,,,,,22:00,2
27/05/2018,,,,,,,22:15,0
28/05/2018,,,,,,,22:30,1
30/05/2018,,,,,,,23:00,1
31/05/2018,,,,,,,15:30,3
21/06/2018,,,,,,,23:15,1
22/06/2018,,,,,,,23:30,1
23/06/2018,,,,,,,23:45,0
24/06/2018,,,,,,,00:00,0
26/06/2018,,,,,,,00:30,0
27/06/2018,,,,,,,17:15,1
29/06/2018,,,,,,,10:00,1
30/06/2018,,,,,,,10:15,2
13/07/2018,,,,,,,10:30,1
14/07/2018,,,,,,,10:45,0
15/07/2018,,,,,,,16:45,20
16/07/2018,,,,,,,17:00,3
17/07/2018,,,,,,,16:30,0
18/07/2018,,,,,,,17:30,1
19/07/2018,,,,,,,17:45,1
20/07/2018,,,,,,,18:00,1
22/07/2018,,,,,,,18:30,1
24/07/2018,,,,,,,16:00,6
