x,Load,Objective Value,Valid?,ReturnCode,CompTime
Org,1,0,0,0,1
Org_kmax_kmin,1,0,0,0,1
Dim.  1,1,0,0,0,1
Dim.  2,1,0,0,0,1
Dim.  3,1,0,0,1,1
Dim.  4,1,0,0,0,1
Dim.  5,1,0,0,0,1
Dim.  6,1,0,0,0,1
Dim.  7,1,0,0,0,1
Dim.  8,1,0,0,0,1
Dim.  9,1,0,0,0,1
Dim.  10,1,0,0,0,1
Dim.  11,1,0,0,0,1
Dim.  12,1,0,0,0,1
Dim.  13,1,0,0,0,1
Dim.  14,1,0,0,0,1
Dim.  15,1,0,0,0,1
Dim.  16,1,0,0,0,1
Dim.  17,1,0,0,0,1
Dim.  18,1,0,0,0,1
Dim.  19,1,0,0,0,1
Dim.  20,1,0,0,0,1
Dim.  21,1,0,0,0,1
Dim.  22,1,0,0,0,1
Dim.  23,1,0,0,0,1
