DATE,TIME,Qty,PRODUCTID,Price,ProductType,ProductDescription,URL,Comments
28/01/2018,00:00,2,MG-8769,$74.69,Men's Waterproof Hiking Boots,These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.,https://www.example.com/product/MG_8769.html, 29/01/2018
31/01/2018,00:45,1,RI-9546,$25.55,Switch Fly Rods,This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast.,https://www.example.com/product/RI_9546.html, 13/02/2018
15/02/2018,01:30,2,RI-6052,$89.34,Organic Textured Cotton Towel,"All the softness and absorbency you've come to expect from our towels, in certified organic cotton for natural, ecofriendly comfort.",https://www.example.com/product/RI_6052.html, 16/02/2018
18/02/2018,02:15,2,BH-9827,$78.07,"All-Weather Dining Table, Round 48""","Made in the USA to our exacting standards, this round patio table is durable enough to weather the elements year-round.",https://www.example.com/product/BH_9827.html, 19/02/2018
21/02/2018,03:00,3,BH-3190,$65.38,Men's Down Vest,"Our best-value down vest is packed with ultralight 650-fill for warmth and protection, even when wet.",https://www.example.com/product/BH_3190.html, 22/02/2018
24/02/2018,03:45,1,AN-5096,$33.83,"Organic Cotton Oxford Shirt, Plaid",Introducing our most easygoing oxford ever. This plaid oxford shirt is made from the purest cotton organically sourced and 100% certified and washed for a super laid-back look and feel.,https://www.example.com/product/AN_5096.html, 25/02/2018
27/02/2018,04:30,0,ZN-2049,$83.32,"Women's Hikers, Low Ventilated","Youll be light on your feet with these ultralightweight, breathable hikers. But dont let the comfortable, airy construction fool you: they deliver all the protection and stability you expect from a trail shoe.",https://www.example.com/product/ZN_2049.html, 28/02/2018
14/03/2018,05:15,1,YY-2600,$90.99,"Kids' Mountain Bike, 24""","An easy-to-ride mountain bike that not only proves to be great fun for all the kids, but also offers great durability and stability.",https://www.example.com/product/YY_2600.html, 15/03/2018
17/03/2018,06:00,1,RI-9121,$9.81,Women's No-Show Socks,These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.,https://www.example.com/product/RI_9121.html, 18/03/2018
20/03/2018,06:45,0,YY-2057,$43.4,"Tippet Material, Pro Freshwater","This tippet is field tested in a variety of situations, from spring creeks to tidal rips, and is guaranteed to perform under the worst weather conditions.",https://www.example.com/product/YY_2057.html, 21/03/2018
24/03/2018,07:45,0,BH-4480,$51.42,Heated Insoles,"This pair of water-resistant, remote-controlled heated insoles features thermal technology engineered to keep your feet warm, not hot, to avoid sweating and freezing.",https://www.example.com/product/BH_4480.html, 25/03/2018
27/03/2018,08:30,3,ON-1026,$20.65,"Tee, Traditional Fit, Short-Sleeve","Made of soft cotton that resists wrinkles, stains, shrinking, fading and pilling, our resilient tee keeps its shape wash after wash.",https://www.example.com/product/ON_1026.html, 28/03/2018
30/03/2018,09:15,0,AN-1646,$78.74,"Rolling Duffle, Extra-Large","We kept the heritage-inspired design of our spacious rolling duffle, then added thoughtful details like easy-rolling spinner wheels.",https://www.example.com/product/AN_1646.html, 31/03/2018
14/04/2018,11:15,12,RI-1639,$25.14,"Men's Loafers, Leather/Nubuck","Our finest leather Men's slip-on penny loafers are handstitched from supple, fine-grain nubuck leather that molds to your foot for a custom-like feel.",https://www.example.com/product/RI_1639.html, 16/04/2018
18/04/2018,12:15,9,CC-9916,$75.06,Men's Biking Shorts,"Designed specifically for mountain biking, the cycling shorts are built with performance features such as breathable, moisture-wicking fabric and chamois padding, with a casual, relaxed fit for comfort on and off the bike.",https://www.example.com/product/CC_9916.html, 19/04/2018
21/04/2018,13:00,8,YY-8239,$72,Men's Boots,"Here, when we call something good we mean it: just one touch of these soft men's boot slippers and you'll understand why.",https://www.example.com/product/YY_8239.html, 23/04/2018
26/04/2018,14:15,22,HK-4191,$3.35,"Women's Waterproof Hiking Boots, Leather Mesh","The classic alpine hiker is back, with retro style and all-day comfort you'll want to wear beyond the trail.",https://www.example.com/product/HK_4191.html, 29/04/2018
15/05/2018,19:15,18,HK-8027,$26.62,Camp Stove Bundle with Coffee Press,"This unique bundle includes the wood-burning camp Stove, Portable Grill, Kettle Pot with Coffee Press and a USB Lantern.",https://www.example.com/product/HK_8027.html, 18/05/2018
20/05/2018,20:30,16,AN-5136,$39.41,Ragg Wool Hat,"Our traditional ragg wool hat is thickly knit from soft lambswool yarns and keeps on insulating, even when wet.",https://www.example.com/product/AN_5136.html, 21/05/2018
