T,Cp,S,H
5.0,0.0174867,0.00295154,0.012864
10.0,0.139923,0.0511471,0.396697
20.0,0.855238,0.278229,4.02244
30.0,4.21404,1.16596,27.0453
40.0,9.6702,3.08463,95.0405
50.0,17.3539,6.0143,227.751
75.0,51.3615,18.7905,1044.08
100.0,97.0089,39.756,2893.49
125.0,139.821,66.1217,5867.31
150.0,175.764,94.8924,9826.01
175.0,205.981,124.317,14607.7
200.0,232.266,153.573,20092.5
225.0,255.81,182.313,26198.4
250.0,277.225,210.391,32865.4
275.0,296.787,237.744,40044.2
298.15,313.37,262.403,47109.5
300.0,314.634,264.346,47690.4
325.0,330.86,290.181,55762.4
350.0,345.559,315.247,64220.7
375.0,358.837,339.549,73028.5
400.0,370.806,363.097,82151.6
425.0,381.583,385.906,91558.9
450.0,391.284,407.996,101222.0
475.0,400.018,429.39,111115.0
500.0,407.887,450.111,121216.0
525.0,414.987,470.187,131503.0
550.0,421.4,489.643,141959.0
575.0,427.204,508.505,152568.0
600.0,432.465,526.8,163315.0
625.0,437.244,544.552,174187.0
650.0,441.592,561.787,185173.0
675.0,445.557,578.528,196264.0
700.0,449.179,594.799,207448.0
