file,clevercs_matched_ground_truth,clevercs_correct,clevercs_wrong
file_less_columns_deleted_value_row_9_col_8.csv,,0,1
file_type_ambiguity_row.csv,,0,1
file_duplicate_header_as_data.csv,canonical,1,0
file_field_delimiter_0x20.csv,,0,1
file_escape_char_0x5C.csv,canonical,1,0
file_field_delimiter_0x9.csv,canonical,1,0
file_mixed_delimiters_whole_row_row_2_0x3B.csv,,0,1
file_less_columns_deleted_value_row_40_col_0.csv,,0,1
file_quotation_char_0x27.csv,,0,1
file_commented_row_23.csv,,0,1
file_embedded_csv_cell.csv,,0,1
file_whitespace_delimiter_cells_unquoted_padded.csv,,0,1
file_double_escaping_double_quote_row_2_col_7.csv,,0,1
file_embedded_json_cell_2_1_len_4.csv,,0,1
file_num_rows_1000_repeat_file.csv,,0,1
file_less_columns_deleted_value_row_59_col_3.csv,,0,1
file_preamble.csv,,0,1
file_field_delimiter_0x2C_0x20.csv,,0,1
file_more_columns_row_50_col_5.csv,,0,1
source.csv,canonical,1,0
file_more_columns_row_46_col_1.csv,,0,1
file_footnote_3_blank_line.csv,,0,1
file_quotation_char_none.csv,,0,1
file_header_multirow_3.csv,,0,1
row_quotation_mark_2_0x27.csv,,0,1
file_move_header_row10.csv,,0,1
file_no_trailing_newline.csv,canonical,1,0
file_footnote_3.csv,,0,1
file_extremely_long_field_row_3_col_6_len_10000.csv,,0,1
file_num_columns_1000.csv,,0,1
file_whitespace_delimiter_cells_quoted_unpadded.csv,,0,1
file_commented_row_76.csv,origin,1,0
file_more_columns_row_26_col_8.csv,,0,1
file_unescaped_row_2_col_1.csv,,0,1
file_mixed_time_formats.csv,,0,1
file_mixed_delimiters_within_row_row_2_range_3_0x3B.csv,,0,1
file_more_columns_row_27_col_5.csv,,0,1
file_footnote_1.csv,,0,1
file_less_columns_deleted_value_row_78_col_4.csv,,0,1
file_commented_row_44.csv,,0,1
file_double_trailing_newline.csv,,0,1
file_one_data_row.csv,canonical,1,0
file_num_columns_pad_randints_1000.csv,,0,1
file_header_multirow_2.csv,,0,1
file_multiline_header_rows_3.csv,,0,1
file_double_escaping_backslash_row_3_col_7.csv,,0,1
file_field_delimiter_0x3B.csv,canonical,1,0
file_no_payload.csv,canonical,1,0
file_header_only.csv,canonical,1,0
file_different_null_values_row_69_col_5.csv,,0,1
file_more_columns_row_22_col_5.csv,,0,1
file_escape_char_0x00.csv,,0,1
file_unquoted_lists_row_81_col_4.csv,,0,1
file_record_delimiter_0xD.csv,canonical,1,0
file_less_columns_deleted_value_row_40_col_6.csv,,0,1
file_superheader.csv,,0,1
file_excel_formulas.csv,,0,1
file_record_delimiter_0xA.csv,,0,1
file_mixed_delimiters_within_row_row_2_range_1_0x3B.csv,,0,1
file_excel_autoformat.csv,,0,1
file_whitespace_delimiter_cells_quoted_padded.csv,,0,1
file_no_header.csv,,0,1
file_commented_row_1.csv,,0,1
