file,clevercs_metric_ground_truth,clevercs_strict_ground_truth,clevercs_matched_ground_truth,clevercs_correct,clevercs_wrong,clevercs_evaluation_error,clevercs_success,clevercs_header_precision,clevercs_header_recall,clevercs_header_f1,clevercs_record_precision,clevercs_record_recall,clevercs_record_f1,clevercs_cell_precision,clevercs_cell_recall,clevercs_cell_f1
file_header_multirow_2.csv,extra_headers_as_data_rows,,,0,1,,1,1.0,1.0,1.0,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9986789960369881,0.9882352941176471,0.9934296977660972
file_header_multirow_3.csv,extra_headers_as_data_rows,,,0,1,,1,1.0,1.0,1.0,0.9764705882352941,0.9764705882352941,0.9764705882352941,0.9973614775725593,0.9767441860465116,0.9869451697127936
file_header_only.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_26_col_5.csv,jagged_deleted_value,jagged_deleted_value,jagged_deleted_value,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_40_col_1.csv,jagged_deleted_value,jagged_deleted_value,jagged_deleted_value,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_45_col_7.csv,jagged_deleted_value,jagged_deleted_value,jagged_deleted_value,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_57_col_1.csv,jagged_deleted_value,jagged_deleted_value,jagged_deleted_value,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_70_col_3.csv,jagged_deleted_value,jagged_deleted_value,jagged_deleted_value,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_delimiters_whole_row_row_13_0x3B.csv,recovered_original_table,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9880952380952381,0.9986631016042781,0.9933510638297873
file_mixed_delimiters_within_row_row_13_range_1_0x3B.csv,recovered_original_table,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9973544973544973,0.9986754966887417,0.9980145598941098
file_mixed_delimiters_within_row_row_13_range_3_0x3B.csv,recovered_original_table,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9947089947089947,0.99867197875166,0.9966865473823724
file_mixed_time_formats_day_month_year.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_time_formats_iso_8601.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_time_formats_long_month_name.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_time_formats_long_month_name_unquoted.csv,temporal_values_as_strings,,,0,1,,1,1.0,1.0,1.0,0.5060240963855421,0.5060240963855421,0.5060240963855421,0.9457671957671958,0.8971141781681304,0.9207984546039922
file_mixed_time_formats_month_day_year.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_more_columns_row_34_col_1.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_more_columns_row_39_col_8.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_more_columns_row_72_col_5.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_more_columns_row_79_col_7.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_more_columns_row_9_col_6.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_move_header_row8.csv,canonical,canonical,canonical,1,0,,1,0.0,0.0,0.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,1.0,1.0,1.0
file_multiline_header_rows_3.csv,canonical,,,0,1,,1,0.0,0.0,0.0,1.0,0.9764705882352941,0.988095238095238,0.996,0.9880952380952381,0.9920318725099602
file_no_header.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_no_payload.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_no_trailing_newline.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_columns_1000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_columns_pad_randints_1000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_rows_50000_repeat_file.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_one_data_row.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_preamble.csv,canonical,,,0,1,,1,0.0,0.0,0.0,1.0,0.9222222222222223,0.9595375722543353,1.0,0.9921259842519685,0.9960474308300395
file_quotation_char_0x27.csv,canonical,,,0,1,,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.6944444444444444,0.5718954248366013,0.6272401433691756
file_quotation_char_none.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.8703703703703703,0.7167755991285403,0.7861409796893668
file_record_delimiter_0xA.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_record_delimiter_0xD.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_superheader_sparse_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,without_superheader,,,0,1,,1,0.0,0.0,0.0,1.0,0.9880952380952381,0.9940119760479043,1.0,0.9882352941176471,0.9940828402366864
file_superheader_whitespace_aligned_columns_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_unescaped_multiline_string_row_2_col_7.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9761904761904762,0.9820359281437125,0.9986772486772487,0.9973579920739762,0.9980171844018507
file_unquoted_lists_row_9_col_6.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9986772486772487,0.994729907773386,0.9966996699669968
file_whitespace_delimiter_cells_quoted_empty_last_column_padded.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_whitespace_delimiter_cells_quoted_padded.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_whitespace_delimiter_cells_quoted_unpadded.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_whitespace_delimiter_cells_unquoted_padded.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_quotation_mark_12_0x27.csv,canonical,,,0,1,,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7341269841269841,0.6045751633986928,0.6630824372759857
source.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
