file,duckdbauto_metric_ground_truth,duckdbauto_strict_ground_truth,duckdbauto_matched_ground_truth,duckdbauto_correct,duckdbauto_wrong,duckdbauto_evaluation_error,duckdbauto_success,duckdbauto_header_precision,duckdbauto_header_recall,duckdbauto_header_f1,duckdbauto_record_precision,duckdbauto_record_recall,duckdbauto_record_f1,duckdbauto_cell_precision,duckdbauto_cell_recall,duckdbauto_cell_f1
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9894179894179894,0.9894179894179894,0.9894179894179894
combo__move_header_row5__preamble_2_raw_empty_row.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.927710843373494,0.9058823529411765,0.9166666666666667,0.9920634920634921,0.9689922480620154,0.9803921568627451
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.927710843373494,0.8850574712643678,0.9058823529411766,0.9920634920634921,0.946969696969697,0.9689922480620156
combo__multiline_header_rows_3__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.927710843373494,0.875,0.9005847953216374,0.9920634920634921,0.9363295880149812,0.9633911368015413
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.9156626506024096,0.8636363636363636,0.8888888888888888,0.9867724867724867,0.9313358302122348,0.9582530507385998
combo__row_quotation_mark_2_0x27__mixed_delimiters_within_row_row_2_range_3_0x3B.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7328042328042328,0.4345098039215686,0.5455440669620877
file_commented_row_41.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
file_commented_row_49.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
file_commented_row_56.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
file_double_escaping_backslash_row_3_col_7.csv,canonical,,,0,1,,1,1.0,0.8181818181818182,0.9,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.9907407407407407,0.8106060606060606,0.8916666666666666
file_double_escaping_double_quote_row_2_col_7.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.9907407407407407,0.9907407407407407,0.9907407407407407
file_double_trailing_newline.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
file_embedded_json_cell_2_1_len_4.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.9907038512616202,0.9867724867724867,0.9887342611000662
file_escape_char_0x00.csv,canonical,,,0,1,,1,1.0,0.8181818181818182,0.9,0.927710843373494,0.927710843373494,0.927710843373494,0.9854497354497355,0.8062770562770563,0.8869047619047619
file_escape_char_0x5C.csv,canonical,,,0,1,,1,1.0,0.8181818181818182,0.9,0.927710843373494,0.927710843373494,0.927710843373494,0.9854497354497355,0.8062770562770563,0.8869047619047619
file_excel_formulas.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9895424836601308,0.9895424836601308,0.9895424836601308
file_extremely_long_field_row_3_col_6_len_10000.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
file_field_delimiter_0x20.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.10978835978835978,0.141156462585034,0.12351190476190477
file_field_delimiter_0x2C_0x20.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.0,0.0,0.0,0.48544973544973546,0.48544973544973546,0.48544973544973546
