file,llm_hybrid_parser_gpt_5_6_sol_metric_ground_truth,llm_hybrid_parser_gpt_5_6_sol_strict_ground_truth,llm_hybrid_parser_gpt_5_6_sol_matched_ground_truth,llm_hybrid_parser_gpt_5_6_sol_correct,llm_hybrid_parser_gpt_5_6_sol_wrong,llm_hybrid_parser_gpt_5_6_sol_evaluation_error,llm_hybrid_parser_gpt_5_6_sol_success,llm_hybrid_parser_gpt_5_6_sol_header_precision,llm_hybrid_parser_gpt_5_6_sol_header_recall,llm_hybrid_parser_gpt_5_6_sol_header_f1,llm_hybrid_parser_gpt_5_6_sol_record_precision,llm_hybrid_parser_gpt_5_6_sol_record_recall,llm_hybrid_parser_gpt_5_6_sol_record_f1,llm_hybrid_parser_gpt_5_6_sol_cell_precision,llm_hybrid_parser_gpt_5_6_sol_cell_recall,llm_hybrid_parser_gpt_5_6_sol_cell_f1
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
combo__move_header_row5__preamble_2_raw_empty_row.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
combo__multiline_header_rows_3__footnote_2_blank_line.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
combo__row_quotation_mark_2_0x27__mixed_delimiters_within_row_row_2_range_3_0x3B.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.996031746031746,0.996031746031746,0.996031746031746
file_commented_row_41.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_commented_row_49.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_commented_row_56.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_escaping_backslash_row_3_col_7.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9986772486772487,0.9986772486772487,0.9986772486772487
file_double_escaping_double_quote_row_2_col_7.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_trailing_newline.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_embedded_json_cell_2_1_len_4.csv,canonical,origin,origin,1,0,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.99867197875166,0.9947089947089947,0.9966865473823724
file_escape_char_0x00.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_escape_char_0x5C.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
file_excel_formulas.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_extremely_long_field_row_3_col_6_len_10000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x20.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x2C_0x20.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x3B.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x9.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_1.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_3.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_3_blank_line.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_header_multirow_2.csv,extra_headers_as_data_rows,origin,origin,1,0,,1,1.0,1.0,1.0,0.9880952380952381,1.0,0.9940119760479043,0.9986789960369881,1.0,0.9993390614672836
file_header_multirow_3.csv,extra_headers_as_data_rows,origin,origin,1,0,,1,1.0,1.0,1.0,0.9764705882352941,1.0,0.988095238095238,0.9973614775725593,1.0,0.9986789960369881
file_header_only.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_26_col_5.csv,rectangular_missing_value,rectangular_missing_value,rectangular_missing_value,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_less_columns_deleted_value_row_40_col_1.csv,rectangular_missing_value,rectangular_missing_value,rectangular_missing_value,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
