DATE,TIME,Qty,PRODUCTID,Price,ProductType,ProductDescription,URL,Comments
28/01/2018​,​00:00​,​2​,​MG-8769​,​$74.69​,​Men's Waterproof Hiking Boots​,"​""These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.""​","​""https://www.example.com/product/MG_8769.html""​",​
29/01/2018​,​00:15​,​0​,​RI-3895​,​$29.81​,​Light-Up Running Jacket​,"​""The next level of weather protection. This light-up jacket resists the elements and keeps you visible in low-light conditions. From running​",​ biking or walking the dog​,"​ the durable construction and innovative safety features won't let you down.""​"
30/01/2018​,​00:30​,​1​,​RI-8070​,​$80.08​,​Men's Ventilated Trail Shoes​,"​""Great grip and super extra breathability make these amazing ventilated hikers ideal for warm​","​ dry conditions.""​","​""https://www.example.com/product/RI_8070.html""​"
31/01/2018​,​00:45​,​1​,​RI-9546​,​$25.55​,​Switch Fly Rods​,"​""This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast.""​","​""https://www.example.com/product/RI_9546.html""​",​
13/02/2018​,​01:00​,​9​,​CC-9259​,​$48.00​,"​""Throw Pillow​","​ Wooden Paddles""​","​""Add a pop of paddling fun to your bed​",​ chair or sofa with this whimsical throw pillow​
14/02/2018​,​01:15​,​1​,​CC-1697​,​$34.22​,​Men's Heavy-Duty Suspenders​,"​""These tough Men's Heavy-Duty Suspenders are made to hold up heavy wool pants without stretching in any way​","​ shape or form.""​","​""https://www.example.com/product/CC_1697.html""​"
15/02/2018​,​01:30​,​2​,​RI-6052​,​$89.34​,​Organic Textured Cotton Towel​,"​""All the softness and absorbency you've come to expect from our towels​",​ in certified organic cotton for natural​,"​ ecofriendly comfort.""​"
16/02/2018​,​01:45​,​2​,​YY-3522​,​$19.34​,"​""Cycling Jersey​","​ Short-Sleeve""​","​""Designed with lots of performance features​",​ plus a semi-form-fitting profile​
17/02/2018​,​02:00​,​0​,​YY-5315​,​$45.39​,"​""Men's Silk Underwear​","​ Crewneck""​","​""For strong​",​ lightweight comfort without bulk​
18/02/2018​,​02:15​,​2​,​BH-9827​,​$78.07​,"​""All-Weather Dining Table​","​ Round 48""""""​","​""Made in the USA to our exacting standards​","​ this round patio table is durable enough to weather the elements year-round.""​"
